report_number,csv_row_index,narrative_text,has_alt_fraud_heading
12,10,"Incident Overview & Initial Details On Thursday, August 4, 1994, an auto accident occurred in an urban area involving a Chevrolet sports sedan operated by a 44-year-old single male policyholder. The driver was assigned policyholder fault for the incident. The vehicle, which is 7 years old with an estimated midpoint market value of $34,500 and a $400 deductible, sustained minor damage requiring no supplementary repairs. Official documentation was established at the scene via a filed police report, though no external witnesses were present to corroborate the event. Claim Evaluation & Risk Assessment The claim was reported eleven days later on Monday, August 15, under a Sedan Liability base policy with an external agent. Financial evaluation places the claim in a Low severity bucket ($13,800 proxy) under a 0.4 coverage multiplier. Risk parameters indicate the policyholder has a driver rating of 4, 1 past claim, and falls into the 36-to-40 policyholder age bracket. Despite an administrative filing delay flag, the presence of official police documentation secures an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been validated as legitimate with no indications of fraudulent activity (FraudFound_P: 0).",False
13,11,"Incident Overview & Initial Details On Wednesday, December 14, 1994, an auto accident occurred in an urban area involving a Ford sports sedan operated by a 36-year-old single female policyholder. The driver was assigned policyholder fault for the collision. The vehicle, carrying a midpoint market value of $34,500, a $400 deductible, and a vehicle age of 6 years, required no supplementary repairs following the impact. Official scene documentation was established via a filed police report, though no external witnesses were present to observe the crash. Claim Evaluation & Risk Assessment The claim was reported nearly two weeks later on Tuesday, December 27, under a Sedan Liability base policy handled by an external agent. Financial evaluation places the claim in a Low severity bucket ($13,800 proxy) under a 0.4 coverage multiplier. Risk parameters indicate the policyholder maintains an optimal driver rating of 1, 2 to 4 past claims, and an age classification of 36 to 40. Despite a filing delay flag and a brand fraud rate of 0.073, the official police documentation secures an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been confirmed as legitimate, with no indicators of fraudulent activity (FraudFound_P: 0).",False
14,12,"Incident Overview & Initial Details On Sunday, October 2, 1994, an auto accident occurred in a rural area involving a Pontiac sedan operated by a 31-year-old married male policyholder. The driver was assigned third-party fault for the collision. The vehicle, which is 7 years old with an estimated midpoint market value of $24,500 and a $400 deductible, sustained minor damage requiring no supplementary repairs. Official documentation was established at the scene via a filed police report, though no external witnesses were present to corroborate the incident. Claim Evaluation & Risk Assessment The claim was reported the next day on Monday, October 3, under a Sedan Collision base policy handled by an external agent. Financial evaluation places the claim in a Medium severity bucket ($17,150 proxy) under a 0.7 coverage multiplier. Risk parameters indicate the policyholder has a driver rating of 4, 2 to 4 past claims, and falls into the 31-to-35 policyholder age bracket. Despite an administrative filing delay flag, the presence of official police documentation yields an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been validated as legitimate with no indications of fraudulent activity (FraudFound_P: 0).",False
15,13,"Incident Overview & Initial Details On Sunday, October 8, 1995, an auto accident occurred in a rural area involving a Honda sedan driven by a 54-year-old married male policyholder. Third-party fault was assigned for the collision. The vehicle, which is over 7 years old with an estimated midpoint market value of $24,500 and a $400 deductible, sustained major damage that subsequently required more than 5 supplementary repairs. Official documentation was established at the scene via a filed police report, though no external witnesses were present to observe the crash. Claim Evaluation & Risk Assessment The claim was reported four days later on Thursday, October 12, under a Sedan All Perils base policy with an external agent. Financial evaluation places the claim in a Medium severity bucket ($24,500 proxy) under a 1.0 coverage multiplier. Risk parameters indicate the policyholder maintains an optimal driver rating of 1, zero past claims, and falls into the 41-to-50 policyholder age bracket. Despite an administrative filing delay flag, the presence of official police documentation yields an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been validated as legitimate with no indications of fraudulent activity (FraudFound_P: 0).",False
16,14,"Incident Overview & Initial Details On Wednesday, February 2, 1994, an auto accident occurred in an urban area involving an Accura sports sedan operated by a 79-year-old married male policyholder. The driver was assigned policyholder fault for the collision. The vehicle, which is over 7 years old with an estimated midpoint market value of $34,500 and a $400 deductible, sustained extensive damage requiring more than 5 supplementary repairs. Notably, neither a police report was filed nor were any external witnesses present at the scene to corroborate the circumstances of the event. Claim Evaluation & Risk Assessment The claim was reported five days later on Monday, February 7, under a Sedan Liability base policy handled by an external agent. Financial evaluation places the claim in a Low severity bucket ($13,800 proxy) under a 0.4 coverage multiplier. However, risk analysis reveals multiple critical red flags: the policyholder has a history of more than 4 past claims (flagged as a repeat offender), a maximum driver rating of 4, a high brand fraud rate of 0.125, and a complete lack of physical or witness verification (evidence score 0). Driven by these compounding risk indicators, the record registered an elevated suspicion score of 2. Submitting this profile to fraud analysis confirmed fraudulent intent, marking the claim as positive for fraud (FraudFound_P: 1).",True
17,15,"Incident Overview & Initial Details On Saturday, December 9, 1995, an auto accident occurred in an urban area involving an Accura sedan operated by a 41-year-old married male policyholder. The driver was assigned policyholder fault for the collision. The vehicle, carrying a midpoint market value of $24,500, a $400 deductible, and a vehicle age of 7 years, sustained minor damage requiring no supplementary repairs. Official scene documentation was established via a filed police report, though no external witnesses were present to corroborate the details of the event. Claim Evaluation & Risk Assessment The claim was reported five days later on Thursday, December 14, under a Sedan Collision base policy handled by an external agent. Financial evaluation places the claim in a Medium severity bucket ($17,150 proxy) under a 0.7 coverage multiplier. Risk parameters show the policyholder maintains a driver rating of 3, 2 to 4 past claims, and falls into the 36-to-40 policyholder age bracket. Despite an administrative filing delay flag and an elevated brand fraud rate of 0.125, the presence of an official police report secures an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been validated as legitimate with no indications of fraudulent activity (FraudFound_P: 0).",False
18,16,"Incident Overview & Initial Details On Wednesday, April 13, 1994, an auto accident occurred in an urban area involving a Pontiac sedan driven by a 40-year-old married male policyholder. The driver was assigned policyholder fault for the collision. The vehicle, which is over 7 years old with an estimated midpoint market value of $24,500 and a $400 deductible, sustained extensive damage that required more than 5 supplementary repairs. Official documentation was established at the scene via a filed police report, though no external witnesses were present to observe the crash. Claim Evaluation & Risk Assessment The claim was reported nearly two weeks later on Monday, April 25, under a Sedan Collision base policy handled by an external agent. Financial evaluation places the claim in a Medium severity bucket ($17,150 proxy) under a 0.7 coverage multiplier. Risk profile indicators show the policyholder maintains a driver rating of 3, 2 to 4 past claims, and falls into the 36-to-40 policyholder age bracket. Despite an administrative filing delay flag, the presence of official police documentation secures an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been validated as legitimate with no indications of fraudulent activity (FraudFound_P: 0).",True
19,17,"Incident Overview & Initial Details On Wednesday, December 14, 1994, an auto accident occurred in an urban area involving a Pontiac sedan operated by a 27-year-old single female policyholder. Third-party fault was assigned for the collision. The vehicle, carrying an estimated midpoint market value of $24,500, a $400 deductible, and a vehicle age of 6 years, sustained minor damage requiring 1 to 2 supplementary repairs. Official documentation was established at the scene via a filed police report, though no external witnesses were present to corroborate the details of the event. Claim Evaluation & Risk Assessment The claim was reported two days later on Friday, December 16, under a Sedan Collision base policy handled by an external agent. Financial evaluation places the claim in a Medium severity bucket ($17,150 proxy) under a 0.7 coverage multiplier. Risk parameters indicate the policyholder maintains a driver rating of 4, zero past claims, and falls into the 31-to-35 policyholder age bracket. Despite an administrative filing delay flag, the presence of official police documentation yields an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been validated as legitimate with no indications of fraudulent activity (FraudFound_P: 0).",False
20,18,"Incident Overview & Initial Details On Thursday, June 30, 1994, an auto accident occurred in an urban area involving a Chevrolet sedan driven by a 60-year-old married male policyholder. The driver was assigned policyholder fault for the collision. The vehicle, which is over 7 years old with an estimated midpoint market value of $24,500 and a $400 deductible, sustained minor damage requiring no supplementary repairs. Official documentation was established at the scene via a filed police report, though no external witnesses were present to corroborate the event. Claim Evaluation & Risk Assessment The claim was reported eleven days later on Monday, July 11, under a Sedan All Perils base policy with an external agent. Financial evaluation places the claim in a Medium severity bucket ($24,500 proxy) under a 1.0 coverage multiplier. Risk parameters indicate the policyholder maintains a driver rating of 3, zero past claims, and falls into the 51-to-65 policyholder age bracket. Despite an administrative filing delay flag, the presence of official police documentation secures an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been validated as legitimate with no indications of fraudulent activity (FraudFound_P: 0).",False
21,19,"Incident Overview & Initial Details On Friday, November 4, 1994, an auto accident occurred in an urban area involving a Ford sports sedan driven by a 31-year-old married male policyholder. The driver was assigned policyholder fault for the collision. The vehicle, which is 7 years old with an estimated midpoint market value of $34,500 and a $400 deductible, sustained minor damage requiring no supplementary repairs. Official documentation was established at the scene via a filed police report, though no external witnesses were present to corroborate the details of the event. Claim Evaluation & Risk Assessment The claim was reported six days later on Thursday, November 10, under a Sedan Liability base policy handled by an external agent. Financial evaluation places the claim in a Low severity bucket ($13,800 proxy) under a 0.4 coverage multiplier. Risk profile parameters show the policyholder maintains a driver rating of 3, 2 to 4 past claims, and falls into the 31-to-35 policyholder age bracket. Despite an administrative filing delay flag and a brand fraud rate of 0.073, the presence of official police documentation secures an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been validated as legitimate with no indications of fraudulent activity (FraudFound_P: 0).",False
22,20,"Incident Overview & Initial Details On Thursday, April 28, 1994, an auto accident occurred in a rural area involving a Mazda sedan operated by a 66-year-old married male policyholder. The driver was assigned policyholder fault for the collision. The vehicle, which is over 7 years old with an estimated midpoint market value of $34,500 and a $500 deductible, sustained minor damage requiring no supplementary repairs. Official documentation was established at the scene via a filed police report, though no external witnesses were present to observe the crash. Claim Evaluation & Risk Assessment The claim was reported eight days later on Friday, May 6, under a Sedan Collision base policy handled by an external agent. Financial evaluation places the claim in a Medium severity bucket ($24,150 proxy) under a 0.7 coverage multiplier. Risk parameters indicate the senior policyholder maintains a solid driver rating of 2, 1 past claim, and an age group classification of over 65. Despite an administrative filing delay flag, the presence of official police documentation secures an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been validated as legitimate with no indications of fraudulent activity (FraudFound_P: 0).",False
23,21,"Incident Overview & Initial Details On Sunday, March 26, 1995, an auto accident occurred in an urban area involving an Accura sedan operated by a 49-year-old married male policyholder. The driver was assigned policyholder fault for the collision. The vehicle, which is over 7 years old with an estimated midpoint market value of $34,500 and a $400 deductible, sustained minor damage requiring no supplementary repairs. Critically, no police report was filed at the time of the crash, and no external witnesses were present at the scene to corroborate the incident. Claim Evaluation & Risk Assessment The claim was reported three days later on Wednesday, March 29, under a Sedan Collision base policy handled by an external agent. Financial evaluation places the claim in a Medium severity bucket ($24,150 proxy) under a 0.7 coverage multiplier. Risk analysis highlights significant red flags: the policyholder has a history of more than 4 past claims (flagged as a repeat offender), an elevated brand fraud rate of 0.125, and a total lack of physical or witness verification (evidence score 0). Driven by these compounding risk indicators, the record registered an elevated suspicion score of 2. Submitting this profile to fraud analysis confirmed fraudulent intent, marking the claim as positive for fraud (FraudFound_P: 1).",False
24,22,"Incident Overview & Initial Details On Friday, June 9, 1995, an auto accident occurred in an urban area involving a Ford sedan operated by a 48-year-old married male policyholder. Third-party fault was assigned for the collision. The vehicle, which is over 7 years old with an estimated midpoint market value of $34,500 and a $400 deductible, sustained major damage that subsequently required more than 5 supplementary repairs. Thorough scene documentation was established, with both a formal police report filed and external witness statements secured to verify the event. Claim Evaluation & Risk Assessment The claim was reported on the same day, Friday, June 9, under a Sedan All Perils base policy managed by an external agent. Financial evaluation places the claim in a High severity bucket ($34,500 proxy) under a 1.0 coverage multiplier. Risk parameters indicate the policyholder maintains an optimal driver rating of 1, 1 past claim, and falls into the 41-to-50 policyholder age bracket. Despite an administrative filing delay flag and a brand fraud rate of 0.073, the dual-source scene documentation yields a solid evidence score of 2 and maintains a zero overall suspicion score. Consequently, the claim has been validated as legitimate with no indications of fraudulent activity (FraudFound_P: 0).",False
25,23,"Incident Overview & Initial Details On Saturday, December 24, 1994, an auto accident occurred in an urban area involving a Honda sports car operated by a 30-year-old single male policyholder. The driver was assigned policyholder fault for the collision. The high-value vehicle—carrying a midpoint market estimate of $80,000, a $400 deductible, and a vehicle age of 6 years—sustained notable damage requiring 3 to 5 supplementary repairs. Although no official police report was filed at the scene, external witness testimony was secured to observe and corroborate the crash details. Claim Evaluation & Risk Assessment The claim was reported four days later on Wednesday, December 28, under a Sport Collision base policy managed by an external agent. Financial evaluation places the claim in a High severity bucket ($56,000 proxy) under a 0.7 coverage multiplier. Risk parameters indicate the policyholder has a maximum driver rating of 4, zero past claims, and an age classification of 31 to 35. Despite a high-value vehicle indicator, a filing delay flag, and the absence of a police report, the presence of witness verification yields an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been validated as legitimate with no indications of fraudulent activity (FraudFound_P: 0).",False
26,24,"Incident Overview & Initial Details On Friday, October 28, 1994, an auto accident occurred in an urban area involving a Pontiac utility vehicle driven by a 55-year-old married male policyholder. Third-party fault was assigned for the collision. The high-value vehicle—carrying an estimated midpoint market value of $80,000, a $400 deductible, and an age of over 7 years—sustained moderate damage requiring 1 to 2 supplementary repairs. Official scene documentation was established via a filed police report, though no external witnesses were present to observe the crash. Claim Evaluation & Risk Assessment The claim was reported three days later on Monday, October 31, under a Utility All Perils base policy handled by an external agent. Financial evaluation places the claim in a High severity bucket ($80,000 proxy) under a 1.0 coverage multiplier. Risk parameters indicate the policyholder has a driver rating of 4, 2 to 4 past claims, and falls into the 41-to-50 policyholder age bracket. Despite a high-value vehicle indicator and an administrative filing delay flag, the presence of official police documentation yields an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been confirmed as legitimate with no indicators of fraudulent activity (FraudFound_P: 0).",False
27,25,"Incident Overview & Initial Details On Monday, July 18, 1994, an auto accident occurred in an urban area involving a Chevrolet sedan operated by a 26-year-old single female policyholder. Third-party fault was assigned for the collision. The vehicle, carrying an estimated midpoint market value of $24,500, a $400 deductible, and an age of 6 years, sustained minor damage requiring no supplementary repairs. Official documentation was established at the scene via a filed police report, though no external witnesses were present to corroborate the incident. Claim Evaluation & Risk Assessment The claim was reported eight days later on Tuesday, July 26, under a Sedan Collision base policy handled by an external agent. Financial evaluation places the claim in a Medium severity bucket ($17,150 proxy) under a 0.7 coverage multiplier. Risk parameters indicate the policyholder has a driver rating of 4, zero past claims, and falls into the 31-to-35 policyholder age bracket. Despite an administrative filing delay flag, the presence of official police documentation secures an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been validated as legitimate with no indications of fraudulent activity (FraudFound_P: 0",False
28,26,"Incident Overview & Initial Details On Friday, July 12, 1996, an auto accident occurred in a rural area involving a Honda sedan operated by a 47-year-old married male policyholder. Third-party fault was assigned for the collision. The vehicle, which is over 7 years old with an estimated midpoint market value of $24,500 and a $400 deductible, sustained moderate damage requiring 3 to 5 supplementary repairs. Official documentation was established at the scene via a filed police report, though no external witnesses were present to observe the crash. Claim Evaluation & Risk Assessment The claim was reported three days later on Monday, July 15, under a Sedan Collision base policy with an external agent. Financial evaluation places the claim in a Medium severity bucket ($17,150 proxy) under a 0.7 coverage multiplier. Risk profile indicators show the policyholder maintains a driver rating of 3, 2 to 4 past claims, and falls into the 41-to-50 policyholder age bracket. Despite an administrative filing delay flag and a brand fraud rate of 0.0639, the presence of official police documentation yields an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been validated as legitimate with no indications of fraudulent activity (FraudFound_P: 0).",False
29,27,"Incident Overview & Initial Details On Sunday, May 15, 1994, an auto accident occurred in an urban area involving an Accura sedan operated by a 42-year-old married male policyholder. The driver was assigned policyholder fault for the collision. The vehicle, carrying an estimated midpoint market value of $34,500, a $400 deductible, and a vehicle age of 7 years, sustained minor damage requiring 1 to 2 supplementary repairs. Notably, no police report was filed at the time of the crash, and no external witnesses were present at the scene to corroborate the details of the event. Claim Evaluation & Risk Assessment The claim was reported five days later on Friday, May 20, under a Sedan All Perils base policy managed by an external agent. Financial evaluation places the claim in a High severity bucket ($34,500 proxy) under a 1.0 coverage multiplier. Risk analysis highlights notable red flags: the policyholder has 2 to 4 past claims, an elevated brand fraud rate of 0.125, and a total absence of scene verification (evidence score 0). Driven by these unverified circumstances and high severity, the record registered an elevated suspicion score of 1 and was flagged for escalation (curation_category: escalate), though ultimate validation marked no confirmed fraud (FraudFound_P: 0).",False
30,28,"Incident Overview & Initial Details On Sunday, May 7, 1995, an auto accident occurred in a rural area involving a Chevrolet sedan driven by a 36-year-old married male policyholder. The driver was assigned policyholder fault for the collision. The vehicle, which is 7 years old with an estimated midpoint market value of $34,500 and a $400 deductible, sustained extensive damage requiring more than 5 supplementary repairs. Official documentation was established at the scene via a filed police report, though no external witnesses were present to observe the event. Claim Evaluation & Risk Assessment The claim was reported two days later on Tuesday, May 9, under a Sedan All Perils base policy handled by an external agent. Financial evaluation places the claim in a High severity bucket ($34,500 proxy) under a 1.0 coverage multiplier. Risk parameters indicate the policyholder maintains a driver rating of 4, 2 to 4 past claims, and falls into the 36-to-40 policyholder age bracket. Despite an administrative filing delay flag, the presence of official police documentation secures an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been validated as legitimate with no indications of fraudulent activity (FraudFound_P: 0).",False
31,29,"Incident Overview & Initial Details On Wednesday, March 2, 1994, an auto accident occurred in a rural area involving a Pontiac sedan operated by a 37-year-old single female policyholder. The driver was assigned policyholder fault for the collision. The vehicle, carrying an estimated midpoint market value of $24,500, a $400 deductible, and a vehicle age of 7 years, sustained extensive damage requiring more than 5 supplementary repairs. Although no official police report was filed at the scene, external witness testimony was secured to observe and verify the crash. Claim Evaluation & Risk Assessment The claim was reported the next day on Thursday, March 3, under a Sedan Collision base policy handled by an external agent. Financial evaluation places the claim in a Medium severity bucket ($17,150 proxy) under a 0.7 coverage multiplier. Risk parameters indicate the policyholder has a maximum driver rating of 4, 2 to 4 past claims, and falls into the 36-to-40 policyholder age bracket. Despite an administrative filing delay flag and the absence of a police report, witness verification yields an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been validated as legitimate with no indications of fraudulent activity (FraudFound_P: 0).",False
32,30,"Incident Overview & Initial Details On Saturday, September 10, 1994, an auto accident occurred in an urban area involving a Chevrolet sedan driven by a 33-year-old married male policyholder. The driver was assigned policyholder fault for the collision. The high-value vehicle—carrying an estimated midpoint market value of $80,000, a $400 deductible, and an age of 6 years—sustained minor damage requiring 1 to 2 supplementary repairs. Official documentation was established at the scene via a filed police report, though no external witnesses were present to corroborate the incident. Claim Evaluation & Risk Assessment The claim was reported six days later on Friday, September 16, under a Sedan All Perils base policy managed by an external agent. Financial evaluation places the claim in a High severity bucket ($80,000 proxy) under a 1.0 coverage multiplier. Risk parameters show the policyholder maintains an optimal driver rating of 1, zero past claims, and falls into the 31-to-35 policyholder age bracket. Despite a high-value vehicle indicator and a filing delay flag, the presence of official police documentation secures an evidence score of 1 and maintains a zero overall suspicion score. Consequently, the claim has been confirmed as legitimate (FraudFound_P: 0).",False
